Job Title, Zip Code, Number of Jobs
2018-07-16,retail,"24432",224
2018-07-16,retail,"50853",92
2018-07-16,retail,"78780",7469
2018-07-16,retail,"44705",2786
2018-07-16,retail,"74820",126
2018-07-16,retail,"28393",270
2018-07-16,retail,"22035",13628
2018-07-16,retail,"95457",148
2018-07-16,retail,"31791",660
2018-07-16,retail,"47201",928
2018-07-16,retail,"77582",293
2018-07-16,retail,"47467",662
2018-07-16,retail,"49864",87
2018-07-16,retail,"23234",3971
2018-07-16,retail,"43506",372
2018-07-16,retail,"29592",702
2018-07-16,retail,"44706",2427
2018-07-16,retail,"68949",153
2018-07-16,retail,"20737",15296
2018-07-16,retail,"02863",5730
2018-07-16,retail,"99153",2
2018-07-16,retail,"52151",124
2018-07-16,retail,"78781",6898
2018-07-16,retail,"24433",20
2018-07-16,retail,"50854",69
2018-07-16,retail,"72424",108
2018-07-16,retail,"22034",14659
2018-07-16,retail,"28394",1529
2018-07-16,retail,"95458",164
2018-07-16,retail,"46268",7002
2018-07-16,retail,"31790",343
2018-07-16,retail,"71223",110
2018-07-16,retail,"77583",11154
2018-07-16,retail,"73622",145
2018-07-16,retail,"29591",573
2018-07-16,retail,"33090",1426
2018-07-16,retail,"23235",3951
2018-07-16,retail,"25630",203
2018-07-16,retail,"43505",389
2018-07-16,retail,"49865",163
2018-07-16,retail,"68948",9
2018-07-16,retail,"45068",4562
2018-07-16,retail,"72687",207
2018-07-16,retail,"02860",5546
2018-07-16,retail,"99154",13
2018-07-16,retail,"94257",5188
2018-07-16,retail,"50851",74
2018-07-16,retail,"28395",1284
2018-07-16,retail,"72421",393
2018-07-16,retail,"48663",1216
2018-07-16,retail,"44703",2716
2018-07-16,retail,"22037",14307
2018-07-16,retail,"24430",479
2018-07-16,retail,"71226",414
2018-07-16,retail,"67749",1
2018-07-16,retail,"89319",24
2018-07-16,retail,"23232",3908
2018-07-16,retail,"29594",408
2018-07-16,retail,"55760",25
2018-07-16,retail,"47465",183
2018-07-16,retail,"49866",163
2018-07-16,retail,"77584",12614
2018-07-16,retail,"99155",42
2018-07-16,retail,"45069",7835
2018-07-16,retail,"68947",53
2018-07-16,retail,"02861",5805
2018-07-16,retail,"69046",17
2018-07-16,retail,"94258",5184
2018-07-16,retail,"75182",12936
2018-07-16,retail,"76380",22
2018-07-16,retail,"48662",916
2018-07-16,retail,"28396",681
2018-07-16,retail,"46001",1529
2018-07-16,retail,"72422",151
2018-07-16,retail,"22036",14646
2018-07-16,retail,"78783",7503
2018-07-16,retail,"28130",7460
2018-07-16,retail,"44704",2528
2018-07-16,retail,"24431",1536
2018-07-16,retail,"95456",41
2018-07-16,retail,"71225",605
2018-07-16,retail,"34290",1106
2018-07-16,retail,"46266",7124
2018-07-16,retail,"79980",1892
2018-07-16,retail,"73620",109
2018-07-16,retail,"47464",638
2018-07-16,retail,"33092",5411
2018-07-16,retail,"77585",148
2018-07-16,retail,"27198",3583
2018-07-16,retail,"49601",167
2018-07-16,retail,"29593",663
2018-07-16,retail,"23233",3553
2018-07-16,retail,"99156",26
2018-07-16,retail,"75189",4924
2018-07-16,retail,"66549",309
2018-07-16,retail,"72427",369
2018-07-16,retail,"44709",2976
2018-07-16,retail,"68946",17
2018-07-16,retail,"74824",271
2018-07-16,retail,"05362",324
2018-07-16,retail,"69045",6
2018-07-16,retail,"91759",6426
2018-07-16,retail,"30330",12814
2018-07-16,retail,"31795",381
2018-07-16,retail,"22031",14649
2018-07-16,retail,"76121",7639
2018-07-16,retail,"67747",7
2018-07-16,retail,"73625",93
2018-07-16,retail,"95453",169
2018-07-16,retail,"97850",23
2018-07-16,retail,"23230",3865
2018-07-16,retail,"29330",1858
2018-07-16,retail,"29596",334
2018-07-16,retail,"27199",2769
2018-07-16,retail,"94256",5186
2018-07-16,retail,"72428",118
2018-07-16,retail,"99157",20
2018-07-16,retail,"05361",374
2018-07-16,retail,"69044",33
2018-07-16,retail,"68945",283
2018-07-16,retail,"91758",10969
2018-07-16,retail,"30331",11848
2018-07-16,retail,"76120",17141
2018-07-16,retail,"22030",13811
2018-07-16,retail,"28398",291
2018-07-16,retail,"20733",3750
2018-07-16,retail,"67748",35
2018-07-16,retail,"73626",115
2018-07-16,retail,"95454",30
2018-07-16,retail,"30597",1342
2018-07-16,retail,"31794",319
2018-07-16,retail,"65349",167
2018-07-16,retail,"02601",1011
2018-07-16,retail,"55763",76
2018-07-16,retail,"23231",3976
2018-07-16,retail,"49861",95
2018-07-16,retail,"71227",568
2018-07-16,retail,"44707",2351
2018-07-16,retail,"38829",242
2018-07-16,retail,"99158",7
2018-07-16,retail,"75187",13983
2018-07-16,retail,"05360",266
2018-07-16,retail,"68944",276
2018-07-16,retail,"28399",1166
2018-07-16,retail,"55764",128
2018-07-16,retail,"02864",5719
2018-07-16,retail,"66547",328
2018-07-16,retail,"22033",13551
2018-07-16,retail,"58260",20
2018-07-16,retail,"69043",4
2018-07-16,retail,"95451",109
2018-07-16,retail,"28133",606
2018-07-16,retail,"76385",39
2018-07-16,retail,"20736",3877
2018-07-16,retail,"48401",188
2018-07-16,retail,"72425",315
2018-07-16,retail,"48667",978
2018-07-16,retail,"29598",1743
2018-07-16,retail,"31793",317
2018-07-16,retail,"67745",3
2018-07-16,retail,"57062",22
2018-07-16,retail,"49862",26
2018-07-16,retail,"29332",496
2018-07-16,retail,"77580",1545
2018-07-16,retail,"47203",982
2018-07-16,retail,"47469",361
2018-07-16,retail,"66548",34
2018-07-16,retail,"72426",110
2018-07-16,retail,"94254",5184
2018-07-16,retail,"44708",2873
2018-07-16,retail,"55765",32
2018-07-16,retail,"68943",26
2018-07-16,retail,"22032",13979
2018-07-16,retail,"69042",10
2018-07-16,retail,"28134",6523
2018-07-16,retail,"76384",39
2018-07-16,retail,"20735",11799
2018-07-16,retail,"74821",127
2018-07-16,retail,"95452",2300
2018-07-16,retail,"31792",212
2018-07-16,retail,"02865",5694
2018-07-16,retail,"77581",12881
2018-07-16,retail,"57061",102
2018-07-16,retail,"49863",40
2018-07-16,retail,"29597",1730
2018-07-16,retail,"29331",1282
2018-07-16,retail,"99159",9
2018-07-16,retail,"71229",523
2018-07-16,retail,"47202",968
2018-07-16,retail,"73624",108
2018-07-16,retail,"47468",939
2018-07-16,retail,"64148",7526
2018-07-16,retail,"88115",54
2018-07-16,retail,"25639",269
2018-07-16,retail,"81087",6
2018-07-16,retail,"55766",60
2018-07-16,retail,"80722",44
2018-07-16,retail,"85619",2278
2018-07-16,retail,"37890",955
2018-07-16,retail,"17356",2785
2018-07-16,retail,"68942",22
2018-07-16,retail,"58262",22
2018-07-16,retail,"69041",6
2018-07-16,retail,"33930",1624
2018-07-16,retail,"31533",180
2018-07-16,retail,"31799",209
2018-07-16,retail,"67743",29
2018-07-16,retail,"33097",8086
2018-07-16,retail,"34295",913
2018-07-16,retail,"59461",15
2018-07-16,retail,"57064",970
2018-07-16,retail,"30334",13761
2018-07-16,retail,"88116",12
2018-07-16,retail,"14859",685
2018-07-16,retail,"64147",7038
2018-07-16,retail,"85618",18
2018-07-16,retail,"55767",93
2018-07-16,retail,"25638",253
2018-07-16,retail,"66546",794
2018-07-16,retail,"80721",12
2018-07-16,retail,"72682",107
2018-07-16,retail,"69040",30
2018-07-16,retail,"31532",237
2018-07-16,retail,"33931",3713
2018-07-16,retail,"58261",19
2018-07-16,retail,"31798",197
2018-07-16,retail,"89314",13
2018-07-16,retail,"65345",228
2018-07-16,retail,"26836",109
2018-07-16,retail,"67744",8
2018-07-16,retail,"36691",1723
2018-07-16,retail,"16159",1969
2018-07-16,retail,"56965",14944
2018-07-16,retail,"59462",27
2018-07-16,retail,"68941",86
2018-07-16,retail,"32730",7647
2018-07-16,retail,"57063",91
2018-07-16,retail,"55768",115
2018-07-16,retail,"80720",2
2018-07-16,retail,"25637",271
2018-07-16,retail,"17354",1705
2018-07-16,retail,"33932",3713
2018-07-16,retail,"37892",220
2018-07-16,retail,"67741",42
2018-07-16,retail,"89311",1
2018-07-16,retail,"65348",257
2018-07-16,retail,"57066",73
2018-07-16,retail,"10060",31395
2018-07-16,retail,"30598",630
2018-07-16,retail,"16156",1760
2018-07-16,retail,"24438",239
2018-07-16,retail,"68940",227
2018-07-16,retail,"30332",14152
2018-07-16,retail,"66543",165
